"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","AE Products API","2","0","Method Validation","0"
"0","","0","Product Catalog","2","0","Product Listing","0"
"0","","0","AE Account API","3","0","Get User Detail","0"
"0","","0","AE Account API","2","0","Verify Login — Invalid Credentials","0"
"0","","0","Checkout","2","0","Place Order","0"
"0","","0","AE Products API","2","0","Get All Brands","0"
"0","","0","Product Catalog","1","0","Product Search","0"
"0","","0","Product Catalog","6","0","Product Detail","0"
"0","","0","Shopping Cart","1","0","Cart Persistence After Login","0"
"0","","0","Shopping Cart","1","0","Recommended Items","0"
"0","","0","AE Account API","2","0","Verify Login","0"
"0","","0","Home Page","2","0","Scroll Behavior","0"
"0","","0","AE Products API","2","0","Search Products — Missing Parameter","0"
"0","","0","Contact","2","0","Contact Form","0"
"0","","0","Product Catalog","2","0","Brand Navigation","0"
"0","","0","AE Products API","3","0","Get All Products","0"
"0","","0","AE Account API","2","0","Delete Account","0"
"0","","0","Shopping Cart","2","0","Add Products","0"
"0","","0","AE Account API","1","0","Verify Login — Missing Parameters","0"
"0","","0","Checkout","1","0","Invoice Download","0"
"0","","0","AE Account API","2","0","Update Account","0"
"0","","0","AE Account API","2","0","Create Account","0"
"0","","0","AE Products API","3","0","Search Products — Various Keywords","0"
"0","","0","Home Page","1","0","Navigation","0"
"0","","0","AE Products API","2","0","Search Products","0"
"0","","0","Product Catalog","1","0","Product Review","0"
"0","","0","Product Catalog","2","0","Category Navigation","0"
"0","","0","Shopping Cart","1","0","Product Quantity","0"
"0","","0","Checkout","1","0","Register During Checkout","0"
"0","","0","Checkout","1","0","Address Verification","0"
"0","","0","Shopping Cart","1","0","Remove Product","0"
"0","","0","AE Account API","1","0","Method Validation","0"
